t,z_numerical,z_analytical,vz_numerical,vz_analytical,error_z
0,3,3,0,-0,0
0.0001,2.999999902,2.999999951,-0.000981,-0.000981,4.905000012e-08
0.0002,2.999999706,2.999999804,-0.001962,-0.001962,9.809999993e-08
0.0003,2.999999411,2.999999559,-0.002943,-0.002943,1.471499999e-07
0.0004,2.999999019,2.999999215,-0.003924,-0.003924,1.961999999e-07
0.0005,2.999998528,2.999998774,-0.004905,-0.004905,2.452500001e-07
0.0006,2.99999794,2.999998234,-0.005886,-0.005886,2.942999999e-07
0.0007,2.999997253,2.999997597,-0.006867,-0.006867,3.433499999e-07
0.0008,2.999996468,2.999996861,-0.007848,-0.007848,3.924e-07
0.0009,2.999995585,2.999996027,-0.008829,-0.008829,4.414500002e-07
0.001,2.999994604,2.999995095,-0.00981,-0.00981,4.905000001e-07
0.0011,2.999993525,2.999994065,-0.010791,-0.010791,5.395500001e-07
0.0012,2.999992348,2.999992937,-0.011772,-0.011772,5.886000003e-07
0.0013,2.999991073,2.999991711,-0.012753,-0.012753,6.376500001e-07
0.0014,2.999989699,2.999990386,-0.013734,-0.013734,6.867000001e-07
0.0015,2.999988228,2.999988964,-0.014715,-0.014715,7.357500001e-07
0.0016,2.999986658,2.999987443,-0.015696,-0.015696,7.848000003e-07
0.0017,2.999984991,2.999985825,-0.016677,-0.016677,8.338500002e-07
0.0018,2.999983225,2.999984108,-0.017658,-0.017658,8.829000002e-07
0.0019,2.999981361,2.999982293,-0.018639,-0.018639,9.319500003e-07
0.002,2.999979399,2.99998038,-0.01962,-0.01962,9.810000001e-07
0.0021,2.999977339,2.999978369,-0.020601,-0.020601,1.03005e-06
0.0022,2.999975181,2.99997626,-0.021582,-0.021582,1.0791e-06
0.0023,2.999972924,2.999974053,-0.022563,-0.022563,1.12815e-06
0.0024,2.99997057,2.999971747,-0.023544,-0.023544,1.1772e-06
0.0025,2.999968117,2.999969344,-0.024525,-0.024525,1.22625e-06
0.0026,2.999965567,2.999966842,-0.025506,-0.025506,1.2753e-06
0.0027,2.999962918,2.999964243,-0.026487,-0.026487,1.32435e-06
0.0028,2.999960171,2.999961545,-0.027468,-0.027468,1.3734e-06
0.0029,2.999957326,2.999958749,-0.028449,-0.028449,1.42245e-06
0.003,2.999954383,2.999955855,-0.02943,-0.02943,1.4715e-06
0.0031,2.999951342,2.999952863,-0.030411,-0.030411,1.52055e-06
0.0032,2.999948203,2.999949773,-0.031392,-0.031392,1.5696e-06
0.0033,2.999944966,2.999946585,-0.032373,-0.032373,1.61865e-06
0.0034,2.99994163,2.999943298,-0.033354,-0.033354,1.6677e-06
0.0035,2.999938197,2.999939914,-0.034335,-0.034335,1.71675e-06
0.0036,2.999934665,2.999936431,-0.035316,-0.035316,1.7658e-06
0.0037,2.999931036,2.999932851,-0.036297,-0.036297,1.81485e-06
0.0038,2.999927308,2.999929172,-0.037278,-0.037278,1.8639e-06
0.0039,2.999923482,2.999925395,-0.038259,-0.038259,1.91295e-06
0.004,2.999919558,2.99992152,-0.03924,-0.03924,1.962e-06
0.0041,2.999915536,2.999917547,-0.040221,-0.040221,2.01105e-06
0.0042,2.999911416,2.999913476,-0.041202,-0.041202,2.0601e-06
0.0043,2.999907197,2.999909307,-0.042183,-0.042183,2.10915e-06
0.0044,2.999902881,2.999905039,-0.043164,-0.043164,2.1582e-06
0.0045,2.999898466,2.999900674,-0.044145,-0.044145,2.207250001e-06
0.0046,2.999893954,2.99989621,-0.045126,-0.045126,2.2563e-06
0.0047,2.999889343,2.999891649,-0.046107,-0.046107,2.30535e-06
0.0048,2.999884634,2.999886989,-0.047088,-0.047088,2.354400001e-06
0.0049,2.999879827,2.999882231,-0.048069,-0.048069,2.40345e-06
0.005,2.999874922,2.999877375,-0.04905,-0.04905,2.4525e-06
0.0051,2.999869919,2.999872421,-0.050031,-0.050031,2.50155e-06
0.0052,2.999864818,2.999867369,-0.051012,-0.051012,2.550600001e-06
0.0053,2.999859619,2.999862219,-0.051993,-0.051993,2.59965e-06
0.0054,2.999854321,2.99985697,-0.052974,-0.052974,2.6487e-06
0.0055,2.999848926,2.999851624,-0.053955,-0.053955,2.697750001e-06
0.0056,2.999843432,2.999846179,-0.054936,-0.054936,2.7468e-06
0.0057,2.999837841,2.999840637,-0.055917,-0.055917,2.79585e-06
0.0058,2.999832151,2.999834996,-0.056898,-0.056898,2.8449e-06
0.0059,2.999826363,2.999829257,-0.057879,-0.057879,2.893950001e-06
0.006,2.999820477,2.99982342,-0.05886,-0.05886,2.943e-06
0.0061,2.999814493,2.999817485,-0.059841,-0.059841,2.99205e-06
0.0062,2.999808411,2.999811452,-0.060822,-0.060822,3.0411e-06
0.0063,2.99980223,2.999805321,-0.061803,-0.061803,3.090150001e-06
0.0064,2.999795952,2.999799091,-0.062784,-0.062784,3.139200001e-06
0.0065,2.999789575,2.999792764,-0.063765,-0.063765,3.188250001e-06
0.0066,2.999783101,2.999786338,-0.064746,-0.064746,3.237300001e-06
0.0067,2.999776528,2.999779815,-0.065727,-0.065727,3.28635e-06
0.0068,2.999769857,2.999773193,-0.066708,-0.066708,3.3354e-06
0.0069,2.999763088,2.999766473,-0.067689,-0.067689,3.38445e-06
0.007,2.999756221,2.999759655,-0.06867,-0.06867,3.433500001e-06
0.0071,2.999749256,2.999752739,-0.069651,-0.069651,3.482550001e-06
0.0072,2.999742193,2.999745725,-0.070632,-0.070632,3.531600001e-06
0.0073,2.999735032,2.999738613,-0.071613,-0.071613,3.580650001e-06
0.0074,2.999727772,2.999731402,-0.072594,-0.072594,3.6297e-06
0.0075,2.999720415,2.999724094,-0.073575,-0.073575,3.67875e-06
0.0076,2.999712959,2.999716687,-0.074556,-0.074556,3.7278e-06
0.0077,2.999705406,2.999709183,-0.075537,-0.075537,3.776850001e-06
0.0078,2.999697754,2.99970158,-0.076518,-0.076518,3.8259e-06
0.0079,2.999690004,2.999693879,-0.077499,-0.077499,3.87495e-06
0.008,2.999682156,2.99968608,-0.07848,-0.07848,3.924e-06
0.0081,2.99967421,2.999678183,-0.079461,-0.079461,3.973050001e-06
0.0082,2.999666166,2.999670188,-0.080442,-0.080442,4.022100001e-06
0.0083,2.999658023,2.999662095,-0.081423,-0.081423,4.071150001e-06
0.0084,2.999649783,2.999653903,-0.082404,-0.082404,4.120200001e-06
0.0085,2.999641444,2.999645614,-0.083385,-0.083385,4.169250001e-06
0.0086,2.999633008,2.999637226,-0.084366,-0.084366,4.2183e-06
0.0087,2.999624473,2.999628741,-0.085347,-0.085347,4.267350001e-06
0.0088,2.99961584,2.999620157,-0.086328,-0.086328,4.316400001e-06
0.0089,2.999607109,2.999611475,-0.087309,-0.087309,4.365450001e-06
0.009,2.99959828,2.999602695,-0.08829,-0.08829,4.414500001e-06
0.0091,2.999589353,2.999593817,-0.089271,-0.089271,4.463550001e-06
0.0092,2.999580328,2.999584841,-0.090252,-0.090252,4.5126e-06
0.0093,2.999571205,2.999575767,-0.091233,-0.091233,4.56165e-06
0.0094,2.999561983,2.999566594,-0.092214,-0.092214,4.6107e-06
0.0095,2.999552664,2.999557324,-0.093195,-0.093195,4.659750001e-06
0.0096,2.999543246,2.999547955,-0.094176,-0.094176,4.7088e-06
0.0097,2.999533731,2.999538489,-0.095157,-0.095157,4.75785e-06
0.0098,2.999524117,2.999528924,-0.096138,-0.096138,4.8069e-06
0.0099,2.999514405,2.999519261,-0.097119,-0.097119,4.855950001e-06
0.01,2.999504595,2.9995095,-0.0981,-0.0981,4.905000001e-06
0.0101,2.999494687,2.999499641,-0.099081,-0.099081,4.954050001e-06
0.0102,2.999484681,2.999489684,-0.100062,-0.100062,5.003100001e-06
0.0103,2.999474576,2.999479629,-0.101043,-0.101043,5.052150001e-06
0.0104,2.999464374,2.999469475,-0.102024,-0.102024,5.1012e-06
0.0105,2.999454073,2.999459224,-0.103005,-0.103005,5.150250001e-06
0.0106,2.999443675,2.999448874,-0.103986,-0.103986,5.199300001e-06
0.0107,2.999433178,2.999438427,-0.104967,-0.104967,5.248350001e-06
0.0108,2.999422583,2.999427881,-0.105948,-0.105948,5.297400001e-06
0.0109,2.99941189,2.999417237,-0.106929,-0.106929,5.346450001e-06
0.011,2.999401099,2.999406495,-0.10791,-0.10791,5.3955e-06
0.0111,2.99939021,2.999395655,-0.108891,-0.108891,5.44455e-06
0.0112,2.999379223,2.999384717,-0.109872,-0.109872,5.4936e-06
0.0113,2.999368138,2.999373681,-0.110853,-0.110853,5.542650001e-06
0.0114,2.999356954,2.999362546,-0.111834,-0.111834,5.5917e-06
0.0115,2.999345673,2.999351314,-0.112815,-0.112815,5.64075e-06
0.0116,2.999334293,2.999339983,-0.113796,-0.113796,5.6898e-06
0.0117,2.999322816,2.999328555,-0.114777,-0.114777,5.738850001e-06
0.0118,2.99931124,2.999317028,-0.115758,-0.115758,5.787900001e-06
0.0119,2.999299566,2.999305403,-0.116739,-0.116739,5.836950001e-06
0.012,2.999287794,2.99929368,-0.11772,-0.11772,5.886000001e-06
0.0121,2.999275924,2.999281859,-0.118701,-0.118701,5.93505e-06
0.0122,2.999263956,2.99926994,-0.119682,-0.119682,5.9841e-06
0.0123,2.999251889,2.999257923,-0.120663,-0.120663,6.03315e-06
0.0124,2.999239725,2.999245807,-0.121644,-0.121644,6.082200001e-06
0.0125,2.999227462,2.999233594,-0.122625,-0.122625,6.131250001e-06
0.0126,2.999215102,2.999221282,-0.123606,-0.123606,6.1803e-06
0.0127,2.999202643,2.999208873,-0.124587,-0.124587,6.229350001e-06
0.0128,2.999190086,2.999196365,-0.125568,-0.125568,6.2784e-06
0.0129,2.999177431,2.999183759,-0.126549,-0.126549,6.32745e-06
0.013,2.999164678,2.999171055,-0.12753,-0.12753,6.3765e-06
0.0131,2.999151827,2.999158253,-0.128511,-0.128511,6.42555e-06
0.0132,2.999138878,2.999145353,-0.129492,-0.129492,6.4746e-06
0.0133,2.999125831,2.999132355,-0.130473,-0.130473,6.52365e-06
0.0134,2.999112685,2.999119258,-0.131454,-0.131454,6.5727e-06
0.0135,2.999099442,2.999106064,-0.132435,-0.132435,6.621750001e-06
0.0136,2.9990861,2.999092771,-0.133416,-0.133416,6.6708e-06
0.0137,2.999072661,2.999079381,-0.134397,-0.134397,6.71985e-06
0.0138,2.999059123,2.999065892,-0.135378,-0.135378,6.768900001e-06
0.0139,2.999045487,2.999052305,-0.136359,-0.136359,6.81795e-06
0.014,2.999031753,2.99903862,-0.13734,-0.13734,6.867e-06
0.0141,2.999017921,2.999024837,-0.138321,-0.138321,6.91605e-06
0.0142,2.999003991,2.999010956,-0.139302,-0.139302,6.965100001e-06
0.0143,2.998989962,2.998996977,-0.140283,-0.140283,7.01415e-06
0.0144,2.998975836,2.998982899,-0.141264,-0.141264,7.0632e-06
0.0145,2.998961611,2.998968724,-0.142245,-0.142245,7.11225e-06
0.0146,2.998947289,2.99895445,-0.143226,-0.143226,7.1613e-06
0.0147,2.998932868,2.998940079,-0.144207,-0.144207,7.21035e-06
0.0148,2.998918349,2.998925609,-0.145188,-0.145188,7.2594e-06
0.0149,2.998903732,2.998911041,-0.146169,-0.146169,7.30845e-06
0.015,2.998889017,2.998896375,-0.14715,-0.14715,7.3575e-06
0.0151,2.998874204,2.998881611,-0.148131,-0.148131,7.40655e-06
0.0152,2.998859293,2.998866749,-0.149112,-0.149112,7.4556e-06
0.0153,2.998844284,2.998851789,-0.150093,-0.150093,7.50465e-06
0.0154,2.998829176,2.99883673,-0.151074,-0.151074,7.5537e-06
0.0155,2.998813971,2.998821574,-0.152055,-0.152055,7.60275e-06
0.0156,2.998798667,2.998806319,-0.153036,-0.153036,7.6518e-06
0.0157,2.998783266,2.998790967,-0.154017,-0.154017,7.70085e-06
0.0158,2.998767766,2.998775516,-0.154998,-0.154998,7.7499e-06
0.0159,2.998752168,2.998759967,-0.155979,-0.155979,7.79895e-06
0.016,2.998736472,2.99874432,-0.15696,-0.15696,7.848e-06
0.0161,2.998720678,2.998728575,-0.157941,-0.157941,7.89705e-06
0.0162,2.998704786,2.998712732,-0.158922,-0.158922,7.9461e-06
0.0163,2.998688795,2.998696791,-0.159903,-0.159903,7.99515e-06
0.0164,2.998672707,2.998680751,-0.160884,-0.160884,8.0442e-06
0.0165,2.99865652,2.998664614,-0.161865,-0.161865,8.09325e-06
0.0166,2.998640236,2.998648378,-0.162846,-0.162846,8.1423e-06
0.0167,2.998623853,2.998632045,-0.163827,-0.163827,8.19135e-06
0.0168,2.998607372,2.998615613,-0.164808,-0.164808,8.2404e-06
0.0169,2.998590794,2.998599083,-0.165789,-0.165789,8.28945e-06
0.017,2.998574116,2.998582455,-0.16677,-0.16677,8.3385e-06
0.0171,2.998557341,2.998565729,-0.167751,-0.167751,8.38755e-06
0.0172,2.998540468,2.998548905,-0.168732,-0.168732,8.4366e-06
0.0173,2.998523497,2.998531983,-0.169713,-0.169713,8.48565e-06
0.0174,2.998506427,2.998514962,-0.170694,-0.170694,8.5347e-06
0.0175,2.99848926,2.998497844,-0.171675,-0.171675,8.58375e-06
0.0176,2.998471994,2.998480627,-0.172656,-0.172656,8.6328e-06
0.0177,2.998454631,2.998463313,-0.173637,-0.173637,8.68185e-06
0.0178,2.998437169,2.9984459,-0.174618,-0.174618,8.7309e-06
0.0179,2.998419609,2.998428389,-0.175599,-0.175599,8.77995e-06
0.018,2.998401951,2.99841078,-0.17658,-0.17658,8.829e-06
0.0181,2.998384195,2.998393073,-0.177561,-0.177561,8.87805e-06
0.0182,2.998366341,2.998375268,-0.178542,-0.178542,8.9271e-06
0.0183,2.998348388,2.998357365,-0.179523,-0.179523,8.97615e-06
0.0184,2.998330338,2.998339363,-0.180504,-0.180504,9.0252e-06
0.0185,2.99831219,2.998321264,-0.181485,-0.181485,9.07425e-06
0.0186,2.998293943,2.998303066,-0.182466,-0.182466,9.1233e-06
0.0187,2.998275598,2.998284771,-0.183447,-0.183447,9.17235e-06
0.0188,2.998257155,2.998266377,-0.184428,-0.184428,9.2214e-06
0.0189,2.998238614,2.998247885,-0.185409,-0.185409,9.27045e-06
0.019,2.998219976,2.998229295,-0.18639,-0.18639,9.3195e-06
0.0191,2.998201238,2.998210607,-0.187371,-0.187371,9.36855e-06
0.0192,2.998182403,2.998191821,-0.188352,-0.188352,9.4176e-06
0.0193,2.99816347,2.998172937,-0.189333,-0.189333,9.46665e-06
0.0194,2.998144439,2.998153954,-0.190314,-0.190314,9.5157e-06
0.0195,2.998125309,2.998134874,-0.191295,-0.191295,9.56475e-06
0.0196,2.998106081,2.998115695,-0.192276,-0.192276,9.6138e-06
0.0197,2.998086756,2.998096419,-0.193257,-0.193257,9.66285e-06
0.0198,2.998067332,2.998077044,-0.194238,-0.194238,9.7119e-06
0.0199,2.99804781,2.998057571,-0.195219,-0.195219,9.76095e-06
0.02,2.99802819,2.998038,-0.1962,-0.1962,9.81e-06
0.0201,2.998008472,2.998018331,-0.197181,-0.197181,9.85905e-06
0.0202,2.997988656,2.997998564,-0.198162,-0.198162,9.9081e-06
0.0203,2.997968741,2.997978699,-0.199143,-0.199143,9.95715e-06
0.0204,2.997948729,2.997958735,-0.200124,-0.200124,1.00062e-05
0.0205,2.997928619,2.997938674,-0.201105,-0.201105,1.005525e-05
0.0206,2.99790841,2.997918514,-0.202086,-0.202086,1.01043e-05
0.0207,2.997888103,2.997898257,-0.203067,-0.203067,1.015335e-05
0.0208,2.997867698,2.997877901,-0.204048,-0.204048,1.02024e-05
0.0209,2.997847195,2.997857447,-0.205029,-0.205029,1.025145e-05
0.021,2.997826594,2.997836895,-0.20601,-0.20601,1.03005e-05
0.0211,2.997805895,2.997816245,-0.206991,-0.206991,1.034955e-05
0.0212,2.997785098,2.997795497,-0.207972,-0.207972,1.03986e-05
0.0213,2.997764203,2.997774651,-0.208953,-0.208953,1.044765e-05
0.0214,2.997743209,2.997753706,-0.209934,-0.209934,1.04967e-05
0.0215,2.997722118,2.997732664,-0.210915,-0.210915,1.054575e-05
0.0216,2.997700928,2.997711523,-0.211896,-0.211896,1.05948e-05
0.0217,2.997679641,2.997690285,-0.212877,-0.212877,1.064385e-05
